Ordem_Sorteio,Marca,Modelo,Ano,Cor,Nota_Confianca_Marca,Nota_Confianca_Modelo,Nota_Aparencia,Perfil_Rodagem,Quilometragem_Estimada,Dias_para_Venda
42,Toyota,Hilux,2022,Cinza,5.0,4.9,4.91,Alto,69152,27
43,Chevrolet,Onix,2021,Cinza,4.3,4.2,4.98,Pouco Rodado,36857,5
44,Hyundai,HB20,2019,Preto,4.5,4.5,4.56,Alto,110697,30
45,Fiat,Strada,2022,Vermelho,3.6,4.4,4.56,Normal,45231,23
46,Toyota,Corolla,2019,Verde,5.0,5.0,4.91,Normal,76273,5
47,Fiat,Argo,2021,Preto,3.6,3.4,4.38,Normal,53518,22
48,Chevrolet,Onix,2023,Branco,4.3,4.2,4.77,Normal,24477,15
49,Fiat,Strada,2023,Preto,3.6,4.4,4.73,Super Alto,51544,35
50,Chevrolet,Onix,2016,Prata,4.3,4.2,4.97,Normal,111557,15
51,Hyundai,HB20,2022,Cinza,4.5,4.5,4.93,Normal,40901,23
52,Ford,Ka,2019,Preto,2.8,3.8,4.97,Super Alto,154709,40
53,Ford,Fiesta,2014,Branco,2.8,2.0,4.13,Alto,202304,47
54,Fiat,Uno,2011,Cinza,3.6,4.3,4.75,Normal,169753,12
55,Honda,Civic,2024,Branco,4.8,4.8,4.95,Normal,14814,5
56,Toyota,Corolla,2019,Preto,5.0,5.0,5.0,Alto,122963,24
57,Jeep,Renegade,2025,Branco,2.5,2.4,4.66,Alto,16325,45
58,Volkswagen,Gol,2019,Cinza,4.0,4.4,4.94,Pouco Rodado,48070,9
59,Hyundai,HB20,2015,Prata,4.5,4.5,4.05,Super Alto,252823,31
60,Hyundai,HB20,2025,Cinza,4.5,4.5,4.34,Alto,15646,47
61,Renault,Duster,2020,Preto,3.2,3.2,4.26,Normal,62017,20
62,Fiat,Toro,2021,Branco,3.6,2.9,4.96,Pouco Rodado,32421,11
63,Fiat,Toro,2016,Prata,3.6,2.9,4.21,Pouco Rodado,76219,20
64,Toyota,Corolla,2025,Preto,5.0,5.0,4.94,Super Alto,19141,20
65,Hyundai,HB20,2019,Marrom,4.5,4.5,4.49,Alto,111645,24
66,Fiat,Toro,2019,Prata,3.6,2.9,4.58,Pouco Rodado,51486,12
67,Toyota,Corolla,2018,Prata,5.0,5.0,4.58,Pouco Rodado,59348,21
68,Renault,Duster,2017,Prata,3.2,3.2,4.86,Pouco Rodado,65780,17
69,Volkswagen,Gol,2021,Cinza,4.0,4.4,4.87,Alto,84432,34
70,Toyota,Corolla,2017,Branco,5.0,5.0,4.25,Super Alto,210244,36
71,Renault,Kwid,2022,Preto,3.2,2.7,4.74,Pouco Rodado,25168,10
72,Chevrolet,Onix,2019,Preto,4.3,4.2,4.93,Normal,78515,12
73,Chevrolet,Celta,2014,Prata,4.3,4.2,3.94,Normal,134334,26
74,Fiat,Uno,2019,Prata,3.6,4.3,4.79,Alto,120261,42
75,Fiat,Strada,2010,Branco,3.6,4.4,4.76,Alto,281021,38
76,Volkswagen,Saveiro,2022,Branco,4.0,4.0,4.38,Super Alto,84981,39
77,Hyundai,HB20,2023,Prata,4.5,4.5,4.93,Normal,26447,7
78,Chevrolet,Onix,2021,Branco,4.3,4.2,4.92,Alto,84778,35
79,Chevrolet,Onix,2023,Prata,4.3,4.2,4.99,Alto,45319,21
80,Volkswagen,Fox,2011,Prata,4.0,4.1,4.29,Normal,172431,25
81,Jeep,Compass,2018,Prata,2.5,2.3,4.48,Normal,88145,21
82,Fiat,Strada,2010,Azul,3.6,4.4,3.96,Normal,185743,27
83,Volkswagen,Gol,2016,Preto,4.0,4.4,4.11,Alto,171466,35
84,Hyundai,HB20,2016,Cinza,4.5,4.5,4.16,Normal,119610,21
85,Renault,Kwid,2025,Cinza,3.2,2.7,4.89,Alto,9688,39
86,Chevrolet,Onix,2018,Cinza,4.3,4.2,4.93,Normal,93330,11
87,Fiat,Strada,2015,Branco,3.6,4.4,4.31,Normal,130268,15
88,Toyota,Corolla,2023,Cinza,5.0,5.0,4.99,Alto,43044,45
89,Renault,Duster,2014,Preto,3.2,3.2,4.67,Super Alto,296905,41
90,Hyundai,HB20,2018,Preto,4.5,4.5,4.68,Super Alto,185993,40
91,Hyundai,Creta,2020,Preto,4.5,3.6,4.51,Normal,60364,28
92,Chevrolet,Onix,2013,Azul,4.3,4.2,4.9,Normal,152990,8
93,Volkswagen,Fox,2015,Prata,4.0,4.1,4.59,Pouco Rodado,80712,12
94,Toyota,Corolla,2024,Prata,5.0,5.0,4.9,Normal,16857,9
95,Fiat,Argo,2021,Vermelho,3.6,3.4,4.88,Super Alto,116687,51
96,Honda,HR-V,2019,Prata,4.8,3.9,4.77,Normal,76531,10
97,Volkswagen,Polo,2018,Preto,4.0,2.8,4.95,Normal,88290,11
98,Fiat,Uno,2015,Branco,3.6,4.3,3.51,Normal,131834,25
99,Honda,HR-V,2022,Cinza,4.8,3.9,4.76,Pouco Rodado,29023,19
100,Volkswagen,Gol,2018,Prata,4.0,4.4,4.32,Normal,95706,12
101,Hyundai,HB20,2017,Vermelho,4.5,4.5,4.78,Pouco Rodado,71613,14
102,Hyundai,HB20,2023,Cinza,4.5,4.5,4.68,Pouco Rodado,18191,6
103,Fiat,Strada,2025,Prata,3.6,4.4,4.61,Normal,8075,19
104,Renault,Sandero,2015,Branco,3.2,2.6,4.23,Normal,130088,25
105,Hyundai,Creta,2023,Branco,4.5,3.6,4.98,Alto,51339,32
106,Chevrolet,Onix,2014,Cinza,4.3,4.2,4.0,Pouco Rodado,89434,5
107,Fiat,Uno,2013,Preto,3.6,4.3,4.83,Alto,233806,25
108,Ford,Ka,2011,Branco,2.8,3.8,4.54,Normal,173019,18
109,Fiat,Toro,2016,Preto,3.6,2.9,4.3,Normal,109806,22
110,Toyota,Hilux,2025,Preto,5.0,4.9,4.47,Pouco Rodado,2456,6
111,Fiat,Strada,2022,Cinza,3.6,4.4,4.86,Super Alto,96167,25
112,Volkswagen,Polo,2024,Preto,4.0,2.8,4.94,Pouco Rodado,10600,12
113,Chevrolet,Tracker,2019,Branco,4.3,3.0,4.93,Normal,77775,16
114,Toyota,Corolla,2017,Cinza,5.0,5.0,4.74,Normal,101972,17
115,Fiat,Toro,2017,Vermelho,3.6,2.9,4.6,Normal,103653,14
116,Hyundai,HB20,2017,Cinza,4.5,4.5,4.51,Normal,106775,14
117,Volkswagen,Gol,2017,Verde,4.0,4.4,4.53,Normal,104247,22
118,Jeep,Compass,2025,Branco,2.5,2.3,4.93,Pouco Rodado,3206,28
119,Honda,Civic,2021,Prata,4.8,4.8,4.96,Normal,56892,7
120,Renault,Sandero,2022,Preto,3.2,2.6,4.36,Pouco Rodado,28486,19
121,Fiat,Strada,2016,Branco,3.6,4.4,4.79,Normal,117381,17
122,Chevrolet,Onix,2025,Prata,4.3,4.2,4.85,Normal,3614,15
123,Toyota,Hilux,2015,Preto,5.0,4.9,4.55,Normal,126030,8
124,Chevrolet,Prisma/Joy Plus,2020,Cinza,4.3,3.2,4.95,Normal,68460,16
125,Renault,Sandero,2011,Verde,3.2,2.6,4.12,Normal,169917,24
126,Toyota,Corolla,2020,Branco,5.0,5.0,4.98,Alto,106343,34
127,Chevrolet,Prisma/Joy Plus,2018,Prata,4.3,3.2,4.33,Normal,94191,12
128,Honda,HR-V,2023,Branco,4.8,3.9,4.9,Pouco Rodado,22592,6
129,Hyundai,HB20,2016,Branco,4.5,4.5,4.88,Normal,108646,20
130,Jeep,Renegade,2016,Vermelho,2.5,2.4,3.59,Alto,163496,44
131,Hyundai,HB20,2017,Branco,4.5,4.5,4.12,Super Alto,201371,28
132,Chevrolet,Prisma/Joy Plus,2020,Prata,4.3,3.2,4.91,Super Alto,145479,36
133,Jeep,Renegade,2024,Verde,2.5,2.4,4.44,Pouco Rodado,9950,20
134,Chevrolet,Prisma/Joy Plus,2020,Branco,4.3,3.2,4.69,Pouco Rodado,43181,17
135,Hyundai,HB20,2020,Prata,4.5,4.5,4.82,Normal,65173,13
136,Jeep,Compass,2018,Cinza,2.5,2.3,4.94,Normal,84383,21
137,Hyundai,Creta,2018,Cinza,4.5,3.6,4.89,Normal,86616,7
138,Hyundai,HB20,2013,Branco,4.5,4.5,4.14,Normal,153942,11
139,Toyota,Corolla Cross,2022,Branco,5.0,4.7,5.0,Super Alto,96881,40
140,Fiat,Strada,2020,Preto,3.6,4.4,4.3,Pouco Rodado,41806,6
141,Volkswagen,Saveiro,2019,Branco,4.0,4.0,4.89,Pouco Rodado,52999,7
142,Hyundai,HB20,2015,Branco,4.5,4.5,4.49,Super Alto,263216,53
143,Ford,Ka,2011,Branco,2.8,3.8,3.6,Normal,171051,18
144,Chevrolet,Prisma/Joy Plus,2013,Prata,4.3,3.2,4.32,Alto,218313,30
145,Fiat,Argo,2017,Branco,3.6,3.4,4.52,Normal,107443,15
146,Chevrolet,Onix,2013,Prata,4.3,4.2,4.61,Pouco Rodado,98794,6
147,Honda,Civic,2019,Prata,4.8,4.8,4.56,Normal,73944,5
148,Chevrolet,Prisma/Joy Plus,2013,Branco,4.3,3.2,4.88,Pouco Rodado,97660,6
149,Fiat,Mobi,2017,Vermelho,3.6,3.5,3.98,Pouco Rodado,70214,22
150,Hyundai,HB20,2020,Preto,4.5,4.5,4.93,Alto,106797,25
151,Honda,Civic,2023,Preto,4.8,4.8,4.98,Normal,27233,12
152,Hyundai,HB20,2016,Preto,4.5,4.5,3.75,Normal,110810,7
153,Volkswagen,T-Cross,2025,Branco,4.0,3.1,4.97,Normal,741,29
154,Fiat,Toro,2018,Branco,3.6,2.9,4.62,Pouco Rodado,60675,17
155,Volkswagen,Saveiro,2014,Prata,4.0,4.0,4.1,Pouco Rodado,95319,16
156,Toyota,Corolla,2025,Azul,5.0,5.0,4.44,Normal,9190,11
157,Volkswagen,Gol,2012,Prata,4.0,4.4,4.58,Normal,163686,12
158,Renault,Sandero,2021,Cinza,3.2,2.6,4.65,Normal,51094,24
159,Volkswagen,Saveiro,2012,Prata,4.0,4.0,4.84,Normal,167301,22
160,Chevrolet,Onix,2025,Branco,4.3,4.2,4.91,Normal,8810,16
161,Fiat,Argo,2025,Branco,3.6,3.4,4.72,Pouco Rodado,2555,9
162,Chevrolet,Onix,2014,Cinza,4.3,4.2,4.36,Normal,143983,17
163,Renault,Sandero,2010,Prata,3.2,2.6,3.74,Super Alto,384302,46
164,Chevrolet,Onix,2020,Preto,4.3,4.2,4.94,Alto,98384,25
165,Toyota,Corolla,2018,Branco,5.0,5.0,4.92,Pouco Rodado,63643,5
166,Volkswagen,Gol,2019,Branco,4.0,4.4,3.69,Pouco Rodado,49947,17
167,Chevrolet,Onix,2019,Prata,4.3,4.2,4.75,Normal,75257,20
168,Toyota,Hilux,2018,Vermelho,5.0,4.9,4.27,Alto,128624,32
169,Volkswagen,Gol,2010,Branco,4.0,4.4,4.13,Normal,183446,7
170,Volkswagen,Gol,2020,Branco,4.0,4.4,4.41,Pouco Rodado,43974,5
171,Ford,Fiesta,2018,Branco,2.8,2.0,4.88,Normal,88290,26
172,Volkswagen,Fox,2018,Preto,4.0,4.1,4.5,Alto,134769,34
173,Chevrolet,Onix,2017,Preto,4.3,4.2,4.98,Alto,157457,36
174,Volkswagen,Gol,2021,Branco,4.0,4.4,4.75,Pouco Rodado,33223,5
175,Ford,Ka,2019,Branco,2.8,3.8,4.74,Normal,78383,7
176,Ford,Ka,2015,Azul,2.8,3.8,4.68,Alto,190006,48
177,Volkswagen,Gol,2013,Branco,4.0,4.4,3.88,Alto,231930,24
178,Hyundai,HB20,2016,Prata,4.5,4.5,4.25,Pouco Rodado,78838,5
179,Jeep,Renegade,2018,Prata,2.5,2.4,4.75,Pouco Rodado,58915,14
180,Toyota,Corolla,2018,Verde,5.0,5.0,4.38,Normal,92627,7
181,Volkswagen,Gol,2016,Vermelho,4.0,4.4,4.66,Super Alto,249333,56
182,Volkswagen,Nivus,2021,Branco,4.0,3.0,4.71,Alto,77044,35
183,Volkswagen,Polo,2024,Branco,4.0,2.8,4.6,Normal,19095,15
184,Toyota,Corolla,2016,Branco,5.0,5.0,4.05,Normal,118401,16
185,Renault,Sandero,2010,Preto,3.2,2.6,3.12,Pouco Rodado,127302,10
186,Honda,HR-V,2025,Vermelho,4.8,3.9,4.91,Normal,3684,8
187,Volkswagen,Saveiro,2016,Preto,4.0,4.0,4.87,Normal,114603,22
188,Toyota,Corolla,2022,Preto,5.0,5.0,4.78,Normal,45260,5
189,Fiat,Toro,2023,Prata,3.6,2.9,4.71,Pouco Rodado,21760,22
190,Hyundai,HB20,2019,Cinza,4.5,4.5,4.95,Normal,76635,5
191,Jeep,Renegade,2021,Prata,2.5,2.4,4.89,Normal,49561,21
192,Jeep,Compass,2020,Cinza,2.5,2.3,4.98,Alto,92287,44
193,Volkswagen,Fox,2021,Preto,4.0,4.1,4.85,Alto,76412,40
194,Fiat,Argo,2018,Verde,3.6,3.4,4.71,Normal,90474,16
195,Chevrolet,Onix,2022,Cinza,4.3,4.2,4.83,Pouco Rodado,26195,16
196,Volkswagen,Saveiro,2016,Branco,4.0,4.0,4.82,Alto,162938,34
197,Volkswagen,Saveiro,2018,Branco,4.0,4.0,4.82,Alto,142476,42
198,Fiat,Strada,2011,Prata,3.6,4.4,4.35,Alto,254337,44
199,Ford,Ka,2020,Prata,2.8,3.8,4.51,Normal,63098,30
200,Honda,HR-V,2017,Prata,4.8,3.9,4.79,Normal,104799,6
201,Chevrolet,Onix,2025,Branco,4.3,4.2,4.95,Alto,7537,28
202,Chevrolet,Onix,2016,Preto,4.3,4.2,4.82,Alto,173461,33
203,Chevrolet,Onix,2018,Cinza,4.3,4.2,4.82,Pouco Rodado,56685,6
204,Honda,HR-V,2024,Preto,4.8,3.9,4.62,Normal,22873,12
205,Jeep,Renegade,2020,Branco,2.5,2.4,4.53,Normal,70300,21
206,Chevrolet,Onix,2024,Prata,4.3,4.2,4.82,Pouco Rodado,8138,5
207,Hyundai,Creta,2022,Preto,4.5,3.6,4.86,Pouco Rodado,31700,9
208,Jeep,Renegade,2024,Cinza,2.5,2.4,5.0,Pouco Rodado,11253,15
209,Chevrolet,Tracker,2019,Prata,4.3,3.0,4.82,Pouco Rodado,50653,24
210,Honda,Civic,2025,Preto,4.8,4.8,4.7,Normal,11890,13
211,Jeep,Compass,2019,Preto,2.5,2.3,4.71,Normal,81615,26
212,Fiat,Argo,2020,Cinza,3.6,3.4,4.92,Normal,67795,14
213,Volkswagen,Polo,2020,Preto,4.0,2.8,4.38,Alto,99444,32
214,Honda,Civic,2021,Branco,4.8,4.8,4.96,Alto,78386,23
215,Ford,Fiesta,2010,Preto,2.8,2.0,4.03,Alto,280834,39
216,Toyota,Corolla,2022,Branco,5.0,5.0,4.58,Super Alto,75970,39
217,Ford,Ka,2014,Preto,2.8,3.8,4.21,Alto,204202,35
218,Chevrolet,Tracker,2017,Preto,4.3,3.0,4.65,Normal,98062,15
219,Hyundai,HB20,2019,Prata,4.5,4.5,4.41,Pouco Rodado,49922,18
220,Renault,Kwid,2023,Preto,3.2,2.7,4.99,Normal,25413,21
221,Fiat,Argo,2018,Preto,3.6,3.4,4.19,Alto,132917,28
222,Fiat,Strada,2016,Preto,3.6,4.4,4.89,Normal,117607,30
223,Jeep,Compass,2022,Branco,2.5,2.3,4.74,Alto,55885,40
224,Volkswagen,Saveiro,2015,Preto,4.0,4.0,4.79,Normal,127569,18
225,Chevrolet,Onix,2025,Cinza,4.3,4.2,4.97,Pouco Rodado,7285,9
226,Volkswagen,Gol,2011,Preto,4.0,4.4,4.37,Pouco Rodado,112394,19
227,Renault,Sandero,2020,Verde,3.2,2.6,4.95,Super Alto,135113,45
228,Renault,Sandero,2020,Vermelho,3.2,2.6,4.88,Normal,61284,24
229,Renault,Kwid,2024,Cinza,3.2,2.7,4.36,Super Alto,46415,47
230,Hyundai,Creta,2019,Cinza,4.5,3.6,4.86,Alto,112618,42
231,Toyota,Hilux,2025,Branco,5.0,4.9,4.82,Normal,11123,5
232,Volkswagen,Polo,2018,Vermelho,4.0,2.8,4.68,Pouco Rodado,62490,17
233,Chevrolet,Onix,2013,Prata,4.3,4.2,3.24,Normal,152760,24
234,Toyota,Corolla,2021,Azul,5.0,5.0,4.96,Normal,57664,11
235,Chevrolet,Celta,2014,Prata,4.3,4.2,4.18,Normal,134375,17
236,Fiat,Uno,2018,Prata,3.6,4.3,4.27,Normal,86664,21
237,Ford,Ka,2016,Cinza,2.8,3.8,4.66,Pouco Rodado,76016,13
238,Chevrolet,Tracker,2022,Vermelho,4.3,3.0,4.48,Normal,36834,19
239,Chevrolet,Onix,2017,Branco,4.3,4.2,4.93,Normal,102730,30
240,Toyota,Hilux,2022,Preto,5.0,4.9,4.85,Alto,57812,36
241,Fiat,Strada,2023,Prata,3.6,4.4,4.94,Normal,33874,14
242,Hyundai,HB20,2018,Preto,4.5,4.5,4.86,Pouco Rodado,60460,5
243,Fiat,Uno,2018,Branco,3.6,4.3,4.53,Super Alto,177924,36
244,Volkswagen,Saveiro,2020,Preto,4.0,4.0,4.84,Alto,98916,22
245,Volkswagen,T-Cross,2023,Prata,4.0,3.1,4.79,Alto,38810,37
246,Fiat,Mobi,2025,Preto,3.6,3.5,4.98,Alto,14084,23
247,Fiat,Uno,2015,Branco,3.6,4.3,3.89,Normal,124077,15
248,Volkswagen,Fox,2010,Preto,4.0,4.1,3.7,Pouco Rodado,123209,12
249,Chevrolet,Onix,2017,Branco,4.3,4.2,4.08,Normal,99992,13
250,Hyundai,HB20,2024,Preto,4.5,4.5,4.9,Super Alto,26281,24
251,Volkswagen,Saveiro,2025,Cinza,4.0,4.0,4.85,Pouco Rodado,6121,5
252,Chevrolet,Onix,2023,Cinza,4.3,4.2,4.94,Pouco Rodado,19907,5
253,Hyundai,HB20,2023,Preto,4.5,4.5,4.8,Pouco Rodado,23796,5
254,Volkswagen,Gol,2020,Azul,4.0,4.4,4.98,Normal,63810,18
255,Volkswagen,T-Cross,2021,Branco,4.0,3.1,4.69,Normal,51993,6
256,Volkswagen,Saveiro,2024,Vermelho,4.0,4.0,4.91,Super Alto,37112,48
257,Hyundai,HB20,2019,Preto,4.5,4.5,4.82,Pouco Rodado,54512,18
258,Toyota,Corolla,2023,Prata,5.0,5.0,4.76,Normal,30887,7
259,Chevrolet,Onix,2025,Preto,4.3,4.2,4.99,Pouco Rodado,4823,5
260,Fiat,Uno,2013,Prata,3.6,4.3,3.79,Pouco Rodado,96845,14
261,Chevrolet,Onix,2014,Azul,4.3,4.2,4.71,Normal,139248,14
262,Honda,Civic,2013,Preto,4.8,4.8,4.52,Alto,221674,30
263,Honda,Civic,2012,Prata,4.8,4.8,4.24,Pouco Rodado,104013,10
264,Volkswagen,Gol,2010,Preto,4.0,4.4,4.39,Pouco Rodado,124538,5
265,Volkswagen,T-Cross,2022,Vermelho,4.0,3.1,4.42,Normal,37963,25
266,Ford,Fiesta,2010,Preto,2.8,2.0,4.88,Alto,284006,35
267,Chevrolet,Onix,2016,Preto,4.3,4.2,4.74,Alto,163287,40
268,Honda,HR-V,2021,Prata,4.8,3.9,4.89,Normal,52952,5
269,Ford,Ka,2010,Branco,2.8,3.8,4.91,Pouco Rodado,121386,12
270,Fiat,Argo,2019,Cinza,3.6,3.4,4.89,Pouco Rodado,54336,29
271,Ford,Ka,2019,Prata,2.8,3.8,4.9,Normal,80907,27
272,Ford,Ka,2014,Branco,2.8,3.8,4.02,Normal,141826,13
273,Ford,Ka,2020,Branco,2.8,3.8,5.0,Pouco Rodado,40097,12
274,Ford,Fiesta,2018,Preto,2.8,2.0,4.57,Normal,85686,27
275,Fiat,Toro,2022,Branco,3.6,2.9,4.94,Normal,38621,18
276,Volkswagen,Fox,2019,Branco,4.0,4.1,4.98,Pouco Rodado,55120,9
277,Chevrolet,Onix,2019,Cinza,4.3,4.2,4.53,Normal,83681,17
278,Chevrolet,Onix,2022,Marrom,4.3,4.2,4.72,Pouco Rodado,31567,5
279,Volkswagen,Fox,2021,Prata,4.0,4.1,4.94,Super Alto,110296,51
280,Fiat,Strada,2013,Prata,3.6,4.4,4.28,Alto,225972,38
281,Fiat,Strada,2023,Branco,3.6,4.4,4.62,Pouco Rodado,18656,16
282,Hyundai,Creta,2018,Preto,4.5,3.6,4.03,Normal,87814,23
283,Ford,Ka,2020,Cinza,2.8,3.8,4.95,Normal,62718,25
284,Toyota,Corolla,2017,Vermelho,5.0,5.0,4.98,Normal,106151,8
285,Chevrolet,Onix,2016,Branco,4.3,4.2,4.96,Normal,117467,14
286,Fiat,Strada,2010,Cinza,3.6,4.4,4.6,Pouco Rodado,122696,13
287,Fiat,Toro,2018,Preto,3.6,2.9,4.4,Alto,132960,41
288,Volkswagen,Gol,2020,Preto,4.0,4.4,4.78,Pouco Rodado,42871,5
289,Chevrolet,Onix,2016,Cinza,4.3,4.2,4.7,Pouco Rodado,76192,5
290,Chevrolet,Celta,2010,Branco,4.3,4.2,4.49,Alto,272990,32
291,Hyundai,HB20,2018,Cinza,4.5,4.5,4.87,Normal,95077,19
292,Jeep,Renegade,2017,Preto,2.5,2.4,4.49,Alto,148456,41
293,Volkswagen,Fox,2019,Branco,4.0,4.1,4.65,Normal,73237,10
294,Volkswagen,T-Cross,2025,Branco,4.0,3.1,4.88,Pouco Rodado,6946,11
295,Hyundai,HB20,2014,Branco,4.5,4.5,4.89,Alto,204656,31
296,Renault,Sandero,2013,Prata,3.2,2.6,4.73,Normal,144645,21
297,Jeep,Renegade,2017,Prata,2.5,2.4,4.64,Normal,98237,17
298,Fiat,Argo,2021,Vermelho,3.6,3.4,4.99,Normal,51865,11
299,Chevrolet,Onix,2021,Cinza,4.3,4.2,4.73,Pouco Rodado,37435,13
300,Toyota,Hilux,2016,Preto,5.0,4.9,4.47,Normal,110389,15
301,Jeep,Compass,2019,Preto,2.5,2.3,4.69,Pouco Rodado,50601,21
302,Fiat,Toro,2017,Branco,3.6,2.9,4.45,Normal,97050,23
303,Fiat,Argo,2019,Preto,3.6,3.4,4.93,Normal,80403,20
304,Toyota,Corolla,2016,Vermelho,5.0,5.0,4.3,Super Alto,249871,37
305,Hyundai,Creta,2022,Cinza,4.5,3.6,4.67,Pouco Rodado,31170,11
306,Ford,Fiesta,2010,Cinza,2.8,2.0,4.66,Pouco Rodado,127780,31
307,Ford,Fiesta,2017,Cinza,2.8,2.0,4.92,Pouco Rodado,64205,25
308,Volkswagen,T-Cross,2025,Vermelho,4.0,3.1,4.76,Super Alto,16324,46
309,Jeep,Renegade,2020,Verde,2.5,2.4,4.68,Alto,105322,52
310,Chevrolet,Onix,2022,Vermelho,4.3,4.2,4.89,Super Alto,78453,51
311,Ford,Ka,2015,Preto,2.8,3.8,4.77,Alto,185858,42
312,Fiat,Uno,2020,Cinza,3.6,4.3,4.92,Super Alto,139885,43
313,Chevrolet,Tracker,2014,Cinza,4.3,3.0,4.35,Alto,209298,42
314,Volkswagen,Saveiro,2017,Preto,4.0,4.0,4.07,Pouco Rodado,66056,17
315,Chevrolet,Onix,2017,Preto,4.3,4.2,4.4,Alto,145799,32
316,Fiat,Toro,2017,Cinza,3.6,2.9,4.79,Alto,146285,38
317,Chevrolet,Prisma/Joy Plus,2019,Marrom,4.3,3.2,4.36,Normal,73557,23
318,Jeep,Compass,2017,Verde,2.5,2.3,4.53,Pouco Rodado,67286,25
319,Fiat,Mobi,2017,Cinza,3.6,3.5,4.77,Super Alto,223681,32
320,Hyundai,Creta,2025,Azul,4.5,3.6,4.91,Pouco Rodado,3932,15
321,Hyundai,Creta,2017,Preto,4.5,3.6,3.94,Normal,100688,11
322,Hyundai,HB20,2013,Preto,4.5,4.5,4.13,Normal,153045,11
323,Chevrolet,Onix,2019,Preto,4.3,4.2,4.87,Normal,76295,10
324,Fiat,Uno,2011,Branco,3.6,4.3,4.01,Normal,171893,21
325,Chevrolet,Celta,2010,Verde,4.3,4.2,4.68,Super Alto,397838,36
326,Renault,Sandero,2022,Vermelho,3.2,2.6,4.43,Pouco Rodado,28073,30
327,Jeep,Renegade,2023,Branco,2.5,2.4,4.82,Normal,35346,27
